labels,type,theta,radius,X,Y,Z,sph_theta,sph_phi,sph_radius,urchan,ref
'FP1',0,-17.926,0.514988889,80.78401377,26.1330144,-4.001084542,17.926,-2.698,85,1,0
'FP2',0,17.926,0.514988889,80.78401377,-26.1330144,-4.001084542,-17.926,-2.698,85,2,0
'F7',0,-53.913,0.528083333,49.87137795,68.42333503,-7.48951836,53.913,-5.055,85,3,0
'F3',0,-39.947,0.344594444,57.55106339,48.20042732,39.86971167,39.947,27.973,85,4,0
'Fz',0,0,0.253377778,60.73848095,0,59.46290383,0,44.392,85,5,0
'F4',0,39.897,0.3445,57.58402611,-48.14259647,39.89198344,-39.897,27.99,85,6,0
'F8',0,53.867,0.528066667,49.92652681,-68.3835903,-7.48508507,-53.867,-5.052,85,7,0
'T3',0,-90,0.533183333,5.18E-15,84.53853864,-8.845082514,90,-5.973,85,8,0
'C3',0,-90,0.266688889,3.87E-15,63.17128071,56.87169149,90,41.996,85,9,0
'Cz',0,0,0,5.20E-15,0,85,0,90,85,10,0
'C4',0,90,0.266666667,3.87E-15,-63.16731017,56.87610154,-90,42,85,11,0
'T4',0,90,0.533183333,5.18E-15,-84.53853864,-8.845082514,-90,-5.973,85,12,0
'T5',0,-126.087,0.528083333,-49.87137795,68.42333503,-7.48951836,126.087,-5.055,85,13,0
'P3',0,-140.053,0.344594444,-57.55106339,48.20042732,39.86971167,140.053,27.973,85,14,0
'PZ',0,180,0.253377778,-60.73848095,-7.44E-15,59.46290383,-180,44.392,85,15,0
'P4',0,140.103,0.3445,-57.58402611,-48.14259647,39.89198344,-140.103,27.99,85,16,0
'T6',0,126.133,0.528066667,-49.92652681,-68.3835903,-7.48508507,-126.133,-5.052,85,17,0
'O1',0,-162.074,0.514988889,-80.78401377,26.1330144,-4.001084542,162.074,-2.698,85,18,0
'O2',0,162.074,0.514988889,-80.78401377,-26.1330144,-4.001084542,-162.074,-2.698,85,19,0
'A1',0,-90,0.75,3.68E-15,60.1040764,-60.1040764,90,-45,85,20,0
'A2',0,90,0.75,3.68E-15,-60.1040764,-60.1040764,-90,-45,85,21,0
'VEOG',0,0,0,0,0,0,0,0,0,0,0
'HEOG',0,0,0,0,0,0,0,0,0,0,0
